"제조일자","","","","수입","검사결과","",""
"순번
품목명
제조·생산지
(유통기한)","","","","중량
(kg)","세슘
요오드
판정
(기준:100Bq/kg)
(기준:300Bq/kg)","",""
"총 148건","","","","1,255,911","","",""
"1","카레(커리)","나가노현","2018-02-20","4,455","불검출","불검출","적합"
"2","양조간장","지바현","2018-03-29","2,106","불검출","불검출","적합"
"3","소주","오이타현","2018-03-08","43","불검출","불검출","적합"
"4","청주","나가사키현","2018-05-16","346","불검출","불검출","적합"
"5","소스","지바현","2018-04-11","302","불검출","불검출","적합"
"6","소주","가고시마현","2018-03-19","43","불검출","불검출","적합"
"7","폴리글리세린
지방산에스테르","미에현","2018-04-16","50","불검출","불검출","적합"
"8","혼합제제","효고현","2018-05-11","5,000","불검출","불검출","적합"
"9","프로필렌글리콜
지방산에스테르","오사카부","2018-03-13","50","불검출","불검출","적합"
"10","혼합제제","효고현","2018-05-16","15","불검출","불검출","적합"
"11","글리세린지방산
에스테르","효고현","2018-03-07","40","불검출","불검출","적합"
"12","혼합제제","오사카부","2018-05-15","41","불검출","불검출","적합"
"13","혼합제제","사이타마현","2018-05-07","108","불검출","불검출","적합"
