"제조일자","","","","수입","검사결과","",""
"순번
품목명
제조·생산지
(유통기한)","","","","중량
(kg)","세슘
요오드
판정
(기준:100Bq/kg)
(기준:300Bq/kg)","",""
"총 111건","","","","525,397","","",""
"1","빵류(그외
빵류)","아이치현","2017-07-11","31.2","불검출","불검출","적합"
"2","혼합제제","오사카부","2017-08-03","15","불검출","불검출","적합"
"3","캔디류(양갱)","지바현","2017-07-17","207.6","불검출","불검출","적합"
"4","빵류(케이크)","아이치현","2017-07-11","25.2","불검출","불검출","적합"
"5","과자(스낵과자)","아이치현","2017-07-11","200","불검출","불검출","적합"
"6","과자(스낵과자)","아이치현","2017-07-11","68.4","불검출","불검출","적합"
"7","과자(스낵과자)","아이치현","2017-07-11","24.3","불검출","불검출","적합"
"8","과자(스낵과자)","아이치현","2017-07-11","130.4","불검출","불검출","적합"
"9","과자(스낵과자)","아이치현","2017-07-11","74.25","불검출","불검출","적합"
"10","과자(스낵과자)","아이치현","2017-07-11","77.4","불검출","불검출","적합"
"11","과자(스낵과자)","아이치현","2017-07-11","72.96","불검출","불검출","적합"
"12","과자(스낵과자)","아이치현","2017-07-11","69","불검출","불검출","적합"
"13","과자(스낵과자)","아이치현","2017-07-11","121","불검출","불검출","적합"
