"제조일자","","","","수입","검사결과","",""
"순번
품목명
제조·생산지
(유통기한)","","","","중량
(kg)","세슘
요오드
판정
(기준:100Bq/kg)
(기준:300Bq/kg)","",""
"총 74건","","","","215,387","","",""
"1","혼합제제","오사카부","2017-07-31","17","불검출","불검출","적합"
"2","비타민C","기후현","2017-07-31","315","불검출","불검출","적합"
"3","탄산수소암모늄","도야마현","2017-06-16","18,000","불검출","불검출","적합"
"4","차카테킨","시가현","2017-08-02","15","불검출","불검출","적합"
"5","국수","나가사키현","2017-08-10","180","불검출","불검출","적합"
"6","국수","나가사키현","2017-08-16","360","불검출","불검출","적합"
"7","트랜스
글루코시다아제","시가현","2017-07-12","701","불검출","불검출","적합"
"8","혼합제제","효고현","2017-08-03","17","불검출","불검출","적합"
"9","맥주","후쿠오카현","2017-07-31","67,133","불검출","불검출","적합"
"10","청주","미에현","2017-06-26","1,800","불검출","불검출","적합"
"11","청주","교토부","2017-07-04","360","불검출","불검출","적합"
