"제조일자","","","","수입","검사결과","",""
"순번
품목명
제조·생산지
(유통기한)","","","","중량
(kg)","세슘
요오드
판정
(기준:100Bq/kg)
(기준:300Bq/kg)","",""
"총 96건","","","","505,460","","",""
"1","폴리소르베이트80","와카야마현","2017-04-17","7,038","불검출","불검출","적합"
"2","두류가공품","오사카부","2017-06-01","2,310","불검출","불검출","적합"
"3","가공두부","나가노현","2017-07-09","288","불검출","불검출","적합"
"4","기타주류","야마구치현","2017-06-15","3,800","불검출","불검출","적합"
"5","복합조미식품","가나가와현","2017-06-09","80","불검출","불검출","적합"
"6","청주","효고현","2017-07-11","2,160","불검출","불검출","적합"
"7","청주","효고현","2017-07-10","6,720","불검출","불검출","적합"
"8","청주","효고현","2017-06-16","5,184","불검출","불검출","적합"
"9","혼합제제","오사카부","2017-08-01","17","불검출","불검출","적합"
"10","혼합제제","오사카부","2017-08-04","17","불검출","불검출","적합"
