"순번","품목명","제조·생산지","제조일자","중량
(kg)","검사결과","",""
"","","","","","세슘
요오드
판정
(기준:100Bq/kg)
(기준:300Bq/kg)","",""
"합계","","103","","316,347","","",""
"1","청국장","구마모토현","2016-07-20","3","불검출","불검출","적합"
"2","청국장","구마모토현","2016-07-20","3","불검출","불검출","적합"
"3","청국장","구마모토현","2016-07-20","2","불검출","불검출","적합"
"4","청국장","구마모토현","2016-07-20","3","불검출","불검출","적합"
"5","과자(스낵과자)","아이치현","2016-07-11","129","불검출","불검출","적합"
"6","빵류(그외 빵류)","아이치현","2016-07-11","130","불검출","불검출","적합"
"7","빵류(그외 빵류)","아이치현","2016-07-11","31","불검출","불검출","적합"
"8","빵류(카스텔라)","오사카부","2016-07-11","105","불검출","불검출","적합"
"9","당류가공품","교토부","2016-06-10","205","불검출","불검출","적합"
"10","초콜릿가공품","사이타마현","2016-07-20","119","불검출","불검출","적합"
"11","당류가공품","교토부","2016-06-15","135","불검출","불검출","적합"
"12","청주","도치기현","2016-07-21","5,760","불검출","불검출","적합"
