"","","제조·생산지","제조일자","중량
(kg)","검사결과","",""
"순번","품목명","","","","세슘
요오드
판정
(기준:100Bq/kg)
(기준:300Bq/kg)","",""
"합계","","150건","","229,869","","",""
"1","캔디류(젤리)","가나가와현","2014-12-01","252","불검출","불검출","적합"
"2","준초콜릿","가나가와현","2014-12-08","470.4","불검출","불검출","적합"
"3","당류가공품","교토부","2014-10-02","540","불검출","불검출","적합"
"4","당류가공품","오사카부","2014-10-02","561.6","불검출","불검출","적합"
"5","당류가공품","오사카부","2014-10-02","546","불검출","불검출","적합"
"6","과자(웨이퍼)","오사카부","2014-06-02","570.4","불검출","불검출","적합"
"7","건어포류","에히메현","2014-12-19","50","불검출","불검출","적합"
"8","볶은커피","효고현","2014-10-27","80","불검출","불검출","적합"
"9","볶은커피","사이타마현","2014-11-22","36","불검출","불검출","적합"
"10","소스류","나가사키현","2014-12-20","3,235.96","불검출","불검출","적합"
"11","소스류","나가사키현","2014-12-20","9,342.3","불검출","불검출","적합"
"12","드레싱","나가사키현","2014-12-24","1,363.72","불검출","불검출","적합"
