"","","제조·생산지","제조일자","중량
(kg)","검사결과","",""
"순번","품목명","","","","세슘
요오드
판정
(기준:100Bq/kg)
(기준:300Bq/kg)","",""
"합계","","162건","","153,615","","",""
"1","소스류","히로시마현","2014-11-21","455.76","불검출","불검출","적합"
"2","소스류","히로시마현","2014-12-01","855.12","불검출","불검출","적합"
"3","소스류","히로시마현","2014-12-17","786.6","불검출","불검출","적합"
"4","소스류","히로시마현","2014-12-12","660","불검출","불검출","적합"
"5","당류가공품","교토부","2014-11-05","24.3","불검출","불검출","적합"
"6","당류가공품","교토부","2014-12-10","17.82","불검출","불검출","적합"
"7","캔디류(젤리)","오사카부","2014-12-16","177.66","불검출","불검출","적합"
"8","캔디류(사탕)","교토부","2014-12-16","28.8","불검출","불검출","적합"
"9","건어포류","에히메현","2014-12-22","315.2","불검출","불검출","적합"
"10","미강유(현미유)","와카야마현","2014-11-29","1,200","불검출","불검출","적합"
"11","조미된장","교토부","2014-12-01","28.8","불검출","불검출","적합"
"12","캔디류(사탕)","오사카부","2014-12-02","115.2","불검출","불검출","적합"
