"","","제조·생산지","제조일자","중량
(kg)","검사결과","",""
"순번","품목명","","","","세슘
요오드
판정
(기준:100Bq/kg)
(기준:300Bq/kg)","",""
"합계","","93건","","121,232","","",""
"1","당류가공품","오사카부","2014-12-16","153","불검출","불검출","적합"
"2","당류가공품","오사카부","2014-11-26","61","불검출","불검출","적합"
"3","청주","기후현","2014-12-17","54","불검출","불검출","적합"
"4","인스턴트커피","오사카부","2014-11-03","65","불검출","불검출","적합"
"5","인스턴트커피","오사카부","2014-12-08","65","불검출","불검출","적합"
"6","청주","고치현","2014-11-26","43","불검출","불검출","적합"
"7","소주","미야자키현","2014-11-28","60","불검출","불검출","적합"
"8","청주","고치현","2014-12-20","43","불검출","불검출","적합"
"9","소스류","히로시마현","2014-12-03","2,244","불검출","불검출","적합"
"10","소스류","히로시마현","2014-12-15","2,880","불검출","불검출","적합"
"11","소스류","히로시마현","2014-12-08","2,520","불검출","불검출","적합"
"12","볶은커피","시즈오카현","2014-12-25","61","불검출","불검출","적합"
