"","","제조·생산지","제조일자","중량
(kg)","검사결과","",""
"순번","품목명","","","","세슘
요오드
판정
(기준:100Bq/kg)
(기준:300Bq/kg)","",""
"합계","","76건","","213,743","","",""
"1","음료베이스","후쿠오카현","2015-01-13","250","불검출","불검출","적합"
"2","액상커피","지바현","2014-12-21","1,980","불검출","불검출","적합"
"3","청국장","도치기현","2014-12-17","2,453.8","불검출","불검출","적합"
"4","소스류","훗카이도","2014-10-11","144","불검출","불검출","적합"
"5","소스류","훗카이도","2014-11-20","108","불검출","불검출","적합"
"6","볶은커피","시즈오카현","2014-12-22","1,063.8","불검출","불검출","적합"
"7","볶은커피","사이타마현","2014-11-22","42","불검출","불검출","적합"
"8","볶은커피","가나가와현","2015-01-05","2,340","불검출","불검출","적합"
"9","캔디류(사탕)","아이치현","2015-01-05","810","불검출","불검출","적합"
"10","식초절임","와카야마현","2015-01-07","79.2","불검출","불검출","적합"
"11","당류가공품","오사카부","2014-12-19","56.4","불검출","불검출","적합"
"12","당류가공품","오사카부","2014-12-16","61.2","불검출","불검출","적합"
