"","","제조·생산지","제조일자","중량(kg)","검사결과","",""
"순 번","품목명","","","","세슘
요오드
판정
(기준:100Bq/kg)
(기준:300Bq/kg)","",""
"합계","","78건","","383,084","","",""
"1","말티톨시럽","시즈오카현","2014-03-13","2,000","불검출","불검출","적합"
"2","글리세린지방산에스테르","효고현","2014-02-06","75","불검출","불검출","적합"
"3","글리세린지방산에스테르","효고현","2014-02-26","135","불검출","불검출","적합"
"4","염화마그네슘","오카야마현","2014-03-11","17,000","불검출","불검출","적합"
"5","어묵","시마네현","2014-02-23","657.8","불검출","불검출","적합"
"6","어묵","시마네현","2014-02-28","750","불검출","불검출","적합"
"7","어묵","시마네현","2014-02-23","1,400","불검출","불검출","적합"
"8","어묵","시마네현","2014-02-17","540","불검출","불검출","적합"
"9","어묵","시마네현","2014-02-16","200","불검출","불검출","적합"
"10","어묵","시마네현","2014-01-26","250","불검출","불검출","적합"
"11","어묵","시마네현","2014-03-23","1,558.2","불검출","불검출","적합"
"12","음료베이스","가나가와현","2014-01-29","695.25","불검출","불검출","적합"
"13","소스류","히로시마현","2014-02-12","1,223.4","불검출","불검출","적합"
"14","소스류","히로시마현","2014-03-14","630","불검출","불검출","적합"
"15","기타가공품","시마네현","2013-10-21","50","불검출","불검출","적합"
"16","맥주","후쿠오카현","2014-02-27","104,760","불검출","불검출","적합"
