"","","제조·생산지","제조일자","중량(kg)","검사결과","",""
"순 번","품목명","","","","세슘
요오드
판정
(기준:100Bq/kg)
(기준:300Bq/kg)","",""
"합계","","108건","","165,045","","",""
"1","건어포류","가고시마현","2014-02-19","1,182","불검출","불검출","적합"
"2","커피/건조","에쿠아도르","2012-12-31","780","불검출","불검출","적합"
"3","커피/건조","티모르","2013-12-31","1,410","불검출","불검출","적합"
"4","커피/건조","페루","2014-01-31","2,340","불검출","불검출","적합"
"5","커피/건조","라오스","2013-12-31","510","불검출","불검출","적합"
"6","기타가공품","훗카이도","2014-02-26","6,016","불검출","불검출","적합"
"7","카르복시메틸셀룰로오스나트륨","시마네현","2014-03-07","100","불검출","불검출","적합"
"8","소주","교토부","2014-03-19","12,441.6","불검출","불검출","적합"
"9","청주","교토부","2014-01-22","3,456","불검출","불검출","적합"
"10","건어포류","에히메현","2014-03-03","540","불검출","불검출","적합"
"11","국수","아이치현","2014-03-14","4,435.2","불검출","불검출","적합"
"12","청주","효고현","2013-12-11","576","불검출","불검출","적합"
"13","청주","고치현","2014-03-05","134.4","불검출","불검출","적합"
"14","빵류(카스텔라)","도쿄도","2014-02-14","57.6","불검출","불검출","적합"
"15","빵류(카스텔라)","사이타마현","2014-02-14","52.8","불검출","불검출","적합"
"16","청주","나라현","2014-02-02","86.4","불검출","불검출","적합"
