"","","제조·생산지","제조일자","중량(kg)","검사결과","",""
"순 번","품목명","","","","세슘
요오드
판정
(기준:100Bq/kg)
(기준:300Bq/kg)","",""
"합계","","62건","","67,948","","",""
"1","혼합제제","가나가와현","2014-01-22","5","불검출","불검출","적합"
"2","음료베이스","사이타마현","2013-12-13","31.5","불검출","불검출","적합"
"3","향신료조제품(고추냉이가공품)","나가노현","2014-02-04","335.4","불검출","불검출","적합"
"4","청주","이바라키현","2014-03-10","43.2","불검출","불검출","적합"
"5","청주","야마구치현","2014-03-14","43.2","불검출","불검출","적합"
"6","청주","야마가타현","2014-02-20","267.84","불검출","불검출","적합"
"7","청주","오사카부","2014-03-14","324","불검출","불검출","적합"
"8","고형차","교토부","2014-03-21","3,730","불검출","불검출","적합"
"9","양조간장","오사카부","2014-03-18","750","불검출","불검출","적합"
"10","식염절임","사이타마현","2014-03-20","150","불검출","불검출","적합"
"11","카르복시메틸셀룰로오스나트륨","시마네현","2013-11-07","5,000","불검출","불검출","적합"
"12","카르복시메틸셀룰로오스나트륨","시마네현","2013-06-06","1,000","불검출","불검출","적합"
"13","혼합제제","가나가와현","2014-03-18","500","불검출","불검출","적합"
"14","준초콜릿","가나가와현","2014-02-12","74.4","불검출","불검출","적합"
"15","청주","미에현","2014-02-17","6,000","불검출","불검출","적합"
"16","과자(크래커)","오사카부","2014-02-26","112","불검출","불검출","적합"
