"","","제조·생산지","제조일자","중량(kg)","검사결과","",""
"순 번","품목명","","","","세슘
요오드
판정
(기준:100Bq/kg)
(기준:300Bq/kg)","",""
"합계","","56건","","221,320","","",""
"1","과자(스낵과자)","구마모토현","2014-02-26","110","불검출","불검출","적합"
"2","탄산칼슘","오카야마현","2014-03-19","18,000","불검출","불검출","적합"
"3","곡류가공품","도쿄도","2014-03-16","1,000","불검출","불검출","적합"
"4","합성착향료","가나가와현","2014-03-04","3","불검출","불검출","적합"
"5","소스류","훗카이도","2014-03-18","1,104","불검출","불검출","적합"
"6","합성착향료","가나가와현","2014-03-14","3","불검출","불검출","적합"
"7","초콜릿가공품","오키나와현","2014-04-02","72","불검출","불검출","적합"
"8","캔디류(사탕)","오키나와현","2014-04-02","24","불검출","불검출","적합"
"9","캔디류(사탕)","오키나와현","2014-04-02","24","불검출","불검출","적합"
"10","당류가공품","오키나와현","2014-04-02","138","불검출","불검출","적합"
"11","과.채주스","오키나와현","2014-03-28","120","불검출","불검출","적합"
"12","D-alpha-토코페롤","야마나시현","2013-09-26","600","불검출","불검출","적합"
"13","초콜릿가공품","오키나와현","2014-04-02","72","불검출","불검출","적합"
"14","캔디류(사탕)","오키나와현","2014-04-02","45","불검출","불검출","적합"
"15","초콜릿가공품","오키나와현","2014-04-02","48","불검출","불검출","적합"
"16","혼합제제","시즈오카현","2014-03-19","25","불검출","불검출","적합"
