"순 번","품목명","제조·생산지","제조일자","중량(kg)","검사결과","",""
"","","","","","세슘
요오드
판정
(기준:100Bq/kg)
(기준:300Bq/kg)","",""
"합계","","83건","","89,777","","",""
"1","조미건어포류","훗카이도","2014-08-16","4.3","불검출","불검출","적합"
"2","초콜릿가공품","도쿄도","2014-08-18","41.2","불검출","불검출","적합"
"3","초콜릿가공품","도쿄도","2014-08-08","45.7","불검출","불검출","적합"
"4","초콜릿가공품","도쿄도","2014-08-19","47.4","불검출","불검출","적합"
"5","초콜릿가공품","도쿄도","2014-08-19","29.6","불검출","불검출","적합"
"6","당절임","도쿄도","2014-08-06","44","불검출","불검출","적합"
"7","초콜릿가공품","도쿄도","2014-08-04","24","불검출","불검출","적합"
"8","초콜릿가공품","도쿄도","2014-08-04","17.2","불검출","불검출","적합"
"9","초콜릿가공품","도쿄도","2014-08-21","38.4","불검출","불검출","적합"
"10","초콜릿가공품","도쿄도","2014-08-09","8.9","불검출","불검출","적합"
"11","캔디류(사탕)","도쿄도","2014-08-21","23.3","불검출","불검출","적합"
"12","캔디류(사탕)","도쿄도","2014-08-11","16","불검출","불검출","적합"
"13","준초콜릿","도쿄도","2014-08-21","15.8","불검출","불검출","적합"
"14","캔디류(젤리)","도쿄도","2014-08-21","19.4","불검출","불검출","적합"
"15","캔디류(젤리)","도쿄도","2014-08-11","12.4","불검출","불검출","적합"
"16","건어포류","시즈오카현","2014-08-25","80","불검출","불검출","적합"
"17","혼합제제","효고현","2014-09-02","34","불검출","불검출","적합"
"18","혼합제제","효고현","2014-09-10","51","불검출","불검출","적합"
