"순번","품
목","생산지","검사
완료일","중량
(Kg)","검사결과","",""
"","","","","","세슘
(
기준
:100Bq/Kg)","요오드
(
기준
:300Bq/Kg)","판정"
"합계","건44","-","-","126,551","-","-","-"
"1","활돔 쥐돔(
)","고치현","2015-10-20","2,033","불검출","불검출","적합"
"2","활장어 먹장어
(
)","나가사키현","2015-10-20","2,979","불검출","불검출","적합"
"3","활가리비","홋카이도","2015-10-20","7,200","불검출","불검출","적합"
"4","활가리비","홋카이도","2015-10-20","7,300","불검출","불검출","적합"
"5","활가리비","홋카이도","2015-10-20","7,400","불검출","불검출","적합"
"6","활가리비","홋카이도","2015-10-20","7,000","불검출","불검출","적합"
"7","활가리비","홋카이도","2015-10-20","7,011","불검출","불검출","적합"
"8","냉동상어
(
청상아리
)","태평양","2015-10-20","1,898","불검출","불검출","적합"
"9","냉동새치
(
녹새치
)","대서양","2015-10-20","1,149","불검출","불검출","적합"
"10","냉동개복치(F)","대서양","2015-10-20","3,522","불검출","불검출","적합"
"11","냉장명태","홋카이도","2015-10-20","6,000","불검출","불검출","적합"
"12","냉장갈치","오이타현","2015-10-20","1,270","불검출","불검출","적합"
"13","냉장돔 참돔(
)","후쿠오카현","2015-10-20","180","불검출","불검출","적합"
"14","냉장돔 황돔(
)","야마구치현","2015-10-20","351","불검출","불검출","적합"
"15","냉장민어
(
수조기
)","야마구치현","2015-10-20","60","불검출","불검출","적합"
"16","냉장홍어","야마구치현","2015-10-20","200","불검출","불검출","적합"
