"순번","품
목","생산지","검사
완료일","중량
(Kg)","검사결과","",""
"","","","","","세슘
(
기준
:100Bq/Kg)","요오드
(
기준
:300Bq/Kg)","판정"
"합계","건36","-","-","185,598","-","-","-"
"1","냉장돔 황돔(
)","야마구치현","2015-10-21","595","불검출","불검출","적합"
"2","냉동홍어","홋카이도","2015-10-21","13,953","불검출","불검출","적합"
"3","냉동상어
(
청상아리
)","대서양","2015-10-21","9,341","불검출","불검출","적합"
"4","냉동상어
(
청상아리
,F)","대서양","2015-10-21","3,676","불검출","불검출","적합"
"5","냉동새치
(
청새치
)","대서양","2015-10-21","114","불검출","불검출","적합"
"6","냉장돔 황돔(
)","오이타현","2015-10-21","180","불검출","불검출","적합"
"7","냉장명태","홋카이도","2015-10-21","4,565","불검출","불검출","적합"
"8","냉장명태","홋카이도","2015-10-21","3,400","불검출","불검출","적합"
"9","냉장홍어","홋카이도","2015-10-21","3,794","불검출","불검출","적합"
"10","활우렁쉥이","홋카이도","2015-10-21","18,594","불검출","불검출","적합"
"11","활우렁쉥이","홋카이도","2015-10-21","9,041","불검출","불검출","적합"
"12","활우렁쉥이","홋카이도","2015-10-21","10,255","불검출","불검출","적합"
"13","활우렁쉥이","홋카이도","2015-10-21","10,397","불검출","불검출","적합"
"14","냉장갈치","와카야마현","2015-10-21","656","불검출","불검출","적합"
"15","냉장돔 황돔(
)","야마구치현","2015-10-21","270","불검출","불검출","적합"
"16","활가리비","홋카이도","2015-10-21","6,786","불검출","불검출","적합"
