"순번","품
목","생산지","검사
완료일","중량
(Kg)","검사결과","",""
"","","","","","세슘
(
기준
:100Bq/Kg)","요오드
(
기준
:300Bq/Kg)","판정"
"17","냉장갈치","와카야마현","2015-10-21","800","불검출","불검출","적합"
"18","냉장갈치","야마구치현","2015-10-21","975","불검출","불검출","적합"
"19","냉장갈치","오이타현","2015-10-21","1,605","불검출","불검출","적합"
"20","냉장홍어","야마구치현","2015-10-21","280","불검출","불검출","적합"
"21","냉장준치","야마구치현","2015-10-21","1,536","불검출","불검출","적합"
"22","냉장갈치","와카야마현","2015-10-21","2,120","불검출","불검출","적합"
"23","냉동기름치","대서양","2015-10-21","5,518","불검출","불검출","적합"
"24","냉장갈치","오이타현","2015-10-21","1,235","불검출","불검출","적합"
"25","활꼬막","사가현","2015-10-21","800","불검출","불검출","적합"
"26","활꼬막
(
새꼬막
)","사가현","2015-10-21","2,280","불검출","불검출","적합"
"27","냉장준치","구마모토현","2015-10-21","287","불검출","불검출","적합"
"28","냉장갈치","와카야마현","2015-10-21","96","불검출","불검출","적합"
"29","활가리비","홋카이도","2015-10-21","6,950","불검출","불검출","적합"
"30","활가리비","홋카이도","2015-10-21","14,707","불검출","불검출","적합"
"31","냉동가리비
(
외투막
)","홋카이도","2015-10-21","24,000","불검출","불검출","적합"
"32","냉동큰실말","오키나와현","2015-10-21","252","불검출","불검출","적합"
"33","활게 참게(
)","야마구치현","2015-10-21","265","불검출","불검출","적합"
"34","활가리비","홋카이도","2015-10-21","6,946","불검출","불검출","적합"
"35","활돔 참돔(
)","나가사키현","2015-10-21","9,949","불검출","불검출","적합"
"36","활돔 참돔(
)","나가사키현","2015-10-21","9,380","불검출","불검출","적합"
