"순번","품
목","생산지","검사
완료일","중량
(Kg)","검사결과","",""
"","","","","","세슘
(
기준
:100Bq/Kg)","요오드
(
기준
:300Bq/Kg)","판정"
"합계","건19","-","-","28,961","-","-","-"
"1","냉동다랑어
(
눈다랑어 목살
,
)","태평양","2015-10-19","1,108","불검출","불검출","적합"
"2","냉장명태","홋카이도","2015-10-19","1,860","불검출","불검출","적합"
"3","냉장갈치","와카야마현","2015-10-19","1,504","불검출","불검출","적합"
"4","냉장명태","홋카이도","2015-10-19","1,320","불검출","불검출","적합"
"5","냉장갈치","와카야마현","2015-10-19","2,658","불검출","불검출","적합"
"6","냉장준치","와카야마현","2015-10-19","528","불검출","불검출","적합"
"7","냉장돔 황돔(
)","야마구치현","2015-10-19","467","불검출","불검출","적합"
"8","냉장민어 수조기
(
)","야마구치현","2015-10-19","77","불검출","불검출","적합"
"9","냉장홍어","야마구치현","2015-10-19","270","불검출","불검출","적합"
"10","활가리비","홋카이도","2015-10-19","7,021","불검출","불검출","적합"
"11","냉장갈치","오이타현","2015-10-19","1,100","불검출","불검출","적합"
"12","냉장갈치","오이타현","2015-10-19","1,130","불검출","불검출","적합"
"13","냉장갈치","와카야마현","2015-10-19","120","불검출","불검출","적합"
"14","냉장갈치","야마구치현","2015-10-19","295","불검출","불검출","적합"
"15","냉장갈치","오이타현","2015-10-19","1,205","불검출","불검출","적합"
"16","냉장가오리","에히메현","2015-10-19","360","불검출","불검출","적합"
