"순번","품
목","생산지","검사
완료일","중량
(Kg)","검사결과","",""
"","","","","","세슘
(
기준
:100Bq/Kg)","요오드
(
기준
:300Bq/Kg)","판정"
"17","활우렁쉥이","홋카이도","2015-10-20","8,520","불검출","불검출","적합"
"18","활가리비","홋카이도","2015-10-20","7,092","불검출","불검출","적합"
"19","활우렁쉥이","홋카이도","2015-10-20","5,323","불검출","불검출","적합"
"20","활우렁쉥이","홋카이도","2015-10-20","8,946","불검출","불검출","적합"
"21","냉장갈치","오이타현","2015-10-20","535","불검출","불검출","적합"
"22","냉장갈치","야마구치현","2015-10-20","550","불검출","불검출","적합"
"23","냉장준치","야마구치현","2015-10-20","464","불검출","불검출","적합"
"24","냉장돔 참돔(
)","야마구치현","2015-10-20","195","불검출","불검출","적합"
"25","냉장갈치","오이타현","2015-10-20","4,950","불검출","불검출","적합"
"26","냉장갈치","야마구치현","2015-10-20","155","불검출","불검출","적합"
"27","활가리비","홋카이도","2015-10-20","6,494","불검출","불검출","적합"
"28","활꼬막 새꼬막
(
)","후쿠오카현","2015-10-20","3,000","불검출","불검출","적합"
"29","활꼬막","후쿠오카현","2015-10-20","140","불검출","불검출","적합"
"30","활꼬막","사가현","2015-10-20","600","불검출","불검출","적합"
"31","냉장갈치","에히메현","2015-10-20","500","불검출","불검출","적합"
"32","활꼬막 새꼬막
(
)","사가현","2015-10-20","2,140","불검출","불검출","적합"
"33","냉장갈치","에히메현","2015-10-20","1,040","불검출","불검출","적합"
"34","냉장명태","홋카이도","2015-10-20","4,000","불검출","불검출","적합"
"35","냉장명태","홋카이도","2015-10-20","4,565","불검출","불검출","적합"
"36","냉장갈치","오이타현","2015-10-20","300","불검출","불검출","적합"
