"순번","품
목","생산지","검사
완료일","중량
(Kg)","검사결과","",""
"","","","","","세슘
(
기준
:100Bq/Kg)","요오드
(
기준
:300Bq/Kg)","판정"
"합계","건19","-","-","48,966","-","-","-"
"1","냉장쥐치 말쥐치
(
)","나가사키현","2015-10-16","3","불검출","불검출","적합"
"2","활돔 참돔(
)","에히메현","2015-10-16","9,921","불검출","불검출","적합"
"3","냉장돔 참돔(
)","야마구치현","2015-10-16","150","불검출","불검출","적합"
"4","냉동상어 진환도
(
상어,F)","가나가와현","2015-10-16","256","불검출","불검출","적합"
"5","활꼬막 새꼬막
(
)","후쿠오카현","2015-10-16","2,780","불검출","불검출","적합"
"6","활꼬막","후쿠오카현","2015-10-16","1,780","불검출","불검출","적합"
"7","활우렁쉥이","홋카이도","2015-10-16","28,250","불검출","불검출","적합"
"8","냉장갈치","와카야마현","2015-10-16","848","불검출","불검출","적합"
"9","냉장갈치","야마구치현","2015-10-16","100","불검출","불검출","적합"
"10","냉장돔 참돔(
)","야마구치현","2015-10-16","160","불검출","불검출","적합"
"11","냉장갈치","오이타현","2015-10-16","1,640","불검출","불검출","적합"
"12","냉장갈치","야마구치현","2015-10-16","405","불검출","불검출","적합"
"13","냉장갈치","에히메현","2015-10-16","190","불검출","불검출","적합"
"14","냉장가오리","에히메현","2015-10-16","320","불검출","불검출","적합"
"15","냉장갈치","오이타현","2015-10-16","120","불검출","불검출","적합"
"16","냉장홍어","야마구치현","2015-10-16","820","불검출","불검출","적합"
