"순번","품
목","생산지","검사
완료일","중량
(Kg)","검사결과","",""
"","","","","","세슘
(
기준
:100Bq/Kg)","요오드
(
기준
:300Bq/Kg)","판정"
"합계","건57","-","-","175,244","-","-","-"
"1","활돔 참돔(
)","구마모토현","2015-09-22","8,147","불검출","불검출","적합"
"2","활전갱이
(
흑점줄전갱이
)","에히메현","2015-09-22","984","불검출","불검출","적합"
"3","활돔 참돔(
)","구마모토현","2015-09-22","11,737","불검출","불검출","적합"
"4","활돔 참돔(
)","에히메현","2015-09-22","2,859","불검출","불검출","적합"
"5","활돔 벵에돔
(
)","에히메현","2015-09-22","867","불검출","불검출","적합"
"6","활돔 참돔(
)","에히메현","2015-09-22","12,332","불검출","불검출","적합"
"7","활가리비","홋카이도","2015-09-22","7,000","불검출","불검출","적합"
"8","활가리비","홋카이도","2015-09-22","7,000","불검출","불검출","적합"
"9","활꼬막 새꼬막
(
)","후쿠오카현","2015-09-22","140","불검출","불검출","적합"
"10","냉동다랑어
(
눈다랑어 횟감
,F,
)","태평양","2015-09-22","602","불검출","불검출","적합"
"11","활꼬막","후쿠오카현","2015-09-22","3,400","불검출","불검출","적합"
"12","활꼬막 새꼬막
(
)","후쿠오카현","2015-09-22","800","불검출","불검출","적합"
"13","냉장준치","야마구치현","2015-09-22","105","불검출","불검출","적합"
"14","냉장돔 황돔(
)","야마구치현","2015-09-22","1,367","불검출","불검출","적합"
"15","냉장홍어","야마구치현","2015-09-22","260","불검출","불검출","적합"
"16","활가리비","홋카이도","2015-09-22","7,000","불검출","불검출","적합"
"17","냉장명태","홋카이도","2015-09-22","3,456","불검출","불검출","적합"
"18","냉장갈치","와카야마현","2015-09-22","2,656","불검출","불검출","적합"
"19","냉장홍어","홋카이도","2015-09-22","5,475","불검출","불검출","적합"
"20","냉장돔 참돔(
)","야마구치현","2015-09-22","740","불검출","불검출","적합"
