"순번","품
목","생산지","검사
완료일","중량
(Kg)","검사결과","",""
"","","","","","세슘
(
기준
:100Bq/Kg)","요오드
(
기준
:300Bq/Kg)","판정"
"합계","건28","-","-","73,068","-","-","-"
"1","활돔 참돔(
)","나가사키현","2015-09-21","9,861","불검출","불검출","적합"
"2","냉동다랑어
(
남방참다랑어
)","인도양","2015-09-21","14,850","불검출","불검출","적합"
"3","냉장돔 황돔(
)","야마구치현","2015-09-21","277","불검출","불검출","적합"
"4","활가리비","홋카이도","2015-09-21","7,101","불검출","불검출","적합"
"5","냉장돔 참돔(
)","야마구치현","2015-09-21","45","불검출","불검출","적합"
"6","냉장돔 황돔(
)","야마구치현","2015-09-21","626","불검출","불검출","적합"
"7","냉장홍어","야마구치현","2015-09-21","270","불검출","불검출","적합"
"8","냉장명태","홋카이도","2015-09-21","1,332","불검출","불검출","적합"
"9","냉장돔 참돔(
)","나가사키현","2015-09-21","240","불검출","불검출","적합"
"10","냉장돔 황돔(
)","나가사키현","2015-09-21","984","불검출","불검출","적합"
"11","냉장갈치","오이타현","2015-09-21","660","불검출","불검출","적합"
"12","냉장갈치","야마구치현","2015-09-21","400","불검출","불검출","적합"
"13","냉장돔 참돔(
)","야마구치현","2015-09-21","420","불검출","불검출","적합"
"14","냉장돔 황돔(
)","야마구치현","2015-09-21","265","불검출","불검출","적합"
"15","냉장명태","홋카이도","2015-09-21","2,904","불검출","불검출","적합"
"16","냉장갈치","오이타현","2015-09-21","930","불검출","불검출","적합"
"17","냉장갈치","에히메현","2015-09-21","256","불검출","불검출","적합"
"18","냉장홍어","홋카이도","2015-09-21","12,479","불검출","불검출","적합"
"19","냉장돔 참돔(
)","야마구치현","2015-09-21","175","불검출","불검출","적합"
"20","냉장돔 참돔(
)","나가사키현","2015-09-21","464","불검출","불검출","적합"
