"검사결과
수입
제조일자
순번
품목명
제조·생산지
중량
세슘
요오드
(유통기한)
판정
(kg)
(기준:100Bq/kg)
(기준:300Bq/kg)","","","","","","",""
"60","과자(스낵과자)","아이치현","2017-10-18","326","불검출","불검출","적합"
"61","액상커피","미에현","2017-08-22","1,620","불검출","불검출","적합"
"62","캔디류(사탕)","아이치현","2017-10-02","746","불검출","불검출","적합"
"63","과자(스낵과자)","아이치현","2017-09-22","82","불검출","불검출","적합"
"64","과자(쿠키)","니가타현","2017-09-29","151","불검출","불검출","적합"
"65","과자(비스킷)","야마가타현","2017-09-26","146","불검출","불검출","적합"
"66","소스류","도치기현","2017-08-24","12,355","불검출","불검출","적합"
"67","기타전분","오카야마현","2017-08-29","3,000","불검출","불검출","적합"
"68","전분가공품","에히메현","2017-10-20","8,000","불검출","불검출","적합"
"69","소스류","에히메현","2017-10-20","1,800","불검출","불검출","적합"
"70","기타가공품","에히메현","2017-10-20","400","불검출","불검출","적합"
"71","소스류","에히메현","2017-10-19","1,332","불검출","불검출","적합"
"72","드레싱","지바현","2017-10-11","1,320","불검출","불검출","적합"
"73","소스류","에히메현","2017-10-18","600","불검출","불검출","적합"
"74","소스류","에히메현","2017-10-20","2,000","불검출","불검출","적합"
"75","캔디류(젤리)","후쿠시마현","2017-09-03","526","불검출","불검출","적합"
"76","캔디류(젤리)","후쿠시마현","2017-09-03","526","불검출","불검출","적합"
"77","혼합제제","도치기현","2017-10-04","30","불검출","불검출","적합"
"78","청주","도치기현","2017-10-06","27,990","불검출","불검출","적합"
"79","혼합제제","도치기현","2017-10-10","900","불검출","불검출","적합"
"80","글루콘산칼슘","도쿠시마현","2017-06-21","500","불검출","불검출","적합"
"81","청주","니가타현","2017-10-06","1,080","불검출","불검출","적합"
"82","고형차","도야마현","2017-10-10","1,104","불검출","불검출","적합"
"83","달맞이꽃종자
추출물 (원료성)","아이치현","2017-02-21","10","불검출","불검출","적합"
"84","조미건어포류","훗카이도","2017-10-10","30","불검출","불검출","적합"
