"검사결과
수입
제조일자
순번
품목명
제조·생산지
중량
세슘
요오드
(유통기한)
판정
(kg)
(기준:100Bq/kg)
(기준:300Bq/kg)","","","","","","",""
"","","","","","","",""
"10","즉석조리식품","나가노현","2017-09-21","780","불검출","불검출","적합"
"11","된장","나가노현","2017-10-02","1,500","불검출","불검출","적합"
"12","조미된장","나가노현","2017-09-27","1,200","불검출","불검출","적합"
"13","카레","나라현","2017-09-05","600","불검출","불검출","적합"
"14","카레","나라현","2017-09-13","600","불검출","불검출","적합"
"15","카레","나라현","2017-09-26","1,600","불검출","불검출","적합"
"16","카레","나라현","2017-09-25","1,000","불검출","불검출","적합"
"17","기타장류","효고현","2017-10-02","540","불검출","불검출","적합"
"18","향신료조제품
(고추냉이가공품)","아이치현","2017-10-05","500","불검출","불검출","적합"
"19","마요네즈","효고현","2017-10-11","1,000","불검출","불검출","적합"
"20","드레싱","사가현","2017-09-06","630","불검출","불검출","적합"
"21","드레싱","사가현","2017-09-12","540","불검출","불검출","적합"
"22","드레싱","오사카부","2017-10-04","180","불검출","불검출","적합"
"23","드레싱","사가현","2017-09-05","9,000","불검출","불검출","적합"
"24","소스류","야마가타현","2017-09-30","3,600","불검출","불검출","적합"
"25","당류가공품","교토부","2017-09-16","65","불검출","불검출","적합"
"26","과.채음료","후쿠오카현","2017-09-21","225","불검출","불검출","적합"
"27","캔디류(젤리)","오카야마현","2017-09-13","1,132","불검출","불검출","적합"
"28","혼합장","나가노현","2017-10-03","4,000","불검출","불검출","적합"
"29","밀크초콜릿","기후현","2017-07-05","380","불검출","불검출","적합"
"30","식초절임","나가노현","2017-10-16","450","불검출","불검출","적합"
"31","청주","야마구치현","2017-10-10","43","불검출","불검출","적합"
"32","청주","돗토리현","2017-10-18","108","불검출","불검출","적합"
"33","청주","돗토리현","2017-10-17","43","불검출","불검출","적합"
"34","청주","미야기현","2017-10-09","43","불검출","불검출","적합"
