"검사결과
수입
제조일자","","","","","","",""
"순번
품목명
제조·생산지
중량
세슘
요오드
(유통기한)
판정
(kg)
(기준:100Bq/kg)
(기준:300Bq/kg)","","","","","","",""
"47","춘장","이바라키현","2018-07-02","75","불검출","불검출","적합"
"48","환자용식품","시즈오카현","2018-07-18","164","불검출","불검출","적합"
"49","과자","니가타현","2018-07-18","208","불검출","불검출","적합"
"50","된장","나가노현","2018-05-18","5,940","불검출","불검출","적합"
"51","혼합제제","히로시마현","2018-07-11","120","불검출","불검출","적합"
"52","건면","도치기현","2018-05-24","150","불검출","불검출","적합"
"53","건면","도치기현","2018-05-11","120","불검출","불검출","적합"
"54","가공소금","시즈오카현","2018-06-21","15","불검출","불검출","적합"
"55","청주","야마가타현","2018-01-27","130","불검출","불검출","적합"
"56","청주","야마가타현","2018-02-15","86","불검출","불검출","적합"
"57","과자","니가타현","2018-07-05","246","불검출","불검출","적합"
