"제조일자","","","","수입","검사결과","",""
"순번
품목명
제조·생산지
(유통기한)","","","","중량
(kg)","세슘
요오드
판정
(기준:100Bq/kg)
(기준:300Bq/kg)","",""
"총 119건","","","","149,169","","",""
"1","음료베이스","기후현","2018-02-16","55","불검출","불검출","적합"
"2","음료베이스","기후현","2018-03-02","78","불검출","불검출","적합"
"3","음료베이스","기후현","2018-02-22","88","불검출","불검출","적합"
"4","음료베이스","기후현","2018-02-20","48","불검출","불검출","적합"
"5","탄산음료","오사카부","2018-02-08","7,200","불검출","불검출","적합"
"6","준초콜릿","효고현","2018-03-05","303","불검출","불검출","적합"
"7","혼합제제","히로시마현","2018-03-06","90","불검출","불검출","적합"
"8","소스","에히메현","2017-12-14","3,600","불검출","불검출","적합"
"9","청주","후쿠오카현","2018-03-08","524","불검출","불검출","적합"
"10","청주","후쿠오카현","2018-03-08","138","불검출","불검출","적합"
"11","즉석조리식품","아이치현","2018-03-02","139","불검출","불검출","적합"
"12","캔디류","나라현","2018-01-12","126","불검출","불검출","적합"
"13","탄산음료","사가현","2018-01-06","5,760","불검출","불검출","적합"
