"제조일자","","","","수입","검사결과","",""
"순번
품목명
제조·생산지
(유통기한)","","","","중량
(kg)","세슘
요오드
판정
(기준:100Bq/kg)
(기준:300Bq/kg)","",""
"총 159건","","","","431138","","",""
"1","혼합제제","히로시마현","2018-10-24","30","불검출","불검출","적합"
"2","볶은커피","효고현","2018-10-13","1,332","불검출","불검출","적합"
"3","준초콜릿","오사카부","2018-10-11","232","불검출","불검출","적합"
"4","복합조미식품","오사카부","2018-10-14","75","불검출","불검출","적합"
"5","양조간장","아이치현","2018-10-16","216","불검출","불검출","적합"
"6","준초콜릿","오사카부","2018-10-09","232","불검출","불검출","적합"
"7","과·채가공품","후쿠오카현","2018-10-02","300","불검출","불검출","적합"
"8","소스","후쿠오카현","2018-10-16","45","불검출","불검출","적합"
"9","소스","나가사키현","2018-10-10","240","불검출","불검출","적합"
"10","소스","사가현","2018-10-19","270","불검출","불검출","적합"
"11","복합조미식품","후쿠오카현","2018-10-12","19","불검출","불검출","적합"
"12","기타장류","나가사키현","2018-10-10","360","불검출","불검출","적합"
"13","소스","시즈오카현","2018-10-12","341","불검출","불검출","적합"
"14","소스","오이타현","2018-09-29","168","불검출","불검출","적합"
