"제조일자","","","","수입","검사결과","",""
"순번
품목명
제조·생산지
(유통기한)","","","","중량
(kg)","세슘
요오드
판정
(기준:100Bq/kg)
(기준:300Bq/kg)","",""
"총 75건","","","","127,120","","",""
"1","청주","나라현","2017-06-12","432","불검출","불검출","적합"
"2","국수","구마모토현","2017-05-25","770","불검출","불검출","적합"
"3","국수","구마모토현","2017-05-25","999","불검출","불검출","적합"
"4","양조간장","지바현","2017-05-09","4,212","불검출","불검출","적합"
"5","과자(스낵과자)","사이타마현","2017-05-24","319","불검출","불검출","적합"
"6","소스류","히로시마현","2017-04-21","828","불검출","불검출","적합"
"7","소스류","히로시마현","2017-05-10","180","불검출","불검출","적합"
"8","혼합장","나가노현","2017-06-07","3,840","불검출","불검출","적합"
"9","된장","나가노현","2017-06-09","400","불검출","불검출","적합"
"10","조미된장","나가노현","2017-06-05","4,000","불검출","불검출","적합"
"11","글루코사민 제품","도쿄도","2017-05-26","129","불검출","불검출","적합"
"12","혼합제제","시즈오카현","2017-06-14","1,000","불검출","불검출","적합"
"13","혼합제제","도치기현","2017-06-15","795","불검출","불검출","적합"
