"제조일자","","","","수입","검사결과","",""
"순번
품목명
제조·생산지
(유통기한)","","","","중량
(kg)","세슘
요오드
판정
(기준:100Bq/kg)
(기준:300Bq/kg)","",""
"총 145건","","","","1,300,868","","",""
"1","과자(비스킷)","니가타현","2017-06-06","95","불검출","불검출","적합"
"2","볶은커피","미에현","2017-05-23","42","불검출","불검출","적합"
"3","소스류","효고현","2017-05-13","180","불검출","불검출","적합"
"4","캔디류(사탕)","효고현","2017-06-13","312","불검출","불검출","적합"
"5","과자(비스킷)","오사카부","2017-05-17","70","불검출","불검출","적합"
"6","국수","구마모토현","2017-05-30","306","불검출","불검출","적합"
"7","캔디류(사탕)","후쿠시마현","2017-06-05","274","불검출","불검출","적합"
"8","캔디류(사탕)","후쿠시마현","2017-04-28","353","불검출","불검출","적합"
"9","기타가공품","훗카이도","2017-06-09","153","불검출","불검출","적합"
"10","과자(스낵과자)","도쿄도","2017-06-09","198","불검출","불검출","적합"
"11","과자(비스킷)","니가타현","2017-06-05","202","불검출","불검출","적합"
"12","캔디류(사탕)","오사카부","2017-05-30","256","불검출","불검출","적합"
"13","캔디류(양갱)","도쿄도","2017-06-02","161","불검출","불검출","적합"
