"","","제조·생산지","제조일자","중량(kg)","검사결과","",""
"순 번","품목명","","","","세슘
요오드
판정
(기준:100Bq/kg)
(기준:300Bq/kg)","",""
"합계","","87건","","201,795","","",""
"1","혼합제제","이바라키현","2014-06-10","30","불검출","불검출","적합"
"2","기타가공품","훗카이도","2013-10-08","10","불검출","불검출","적합"
"3","혼합제제","사이타마현","2014-06-18","50","불검출","불검출","적합"
"4","소스류","니가타현","2014-06-02","569.52","불검출","불검출","적합"
"5","소스류","니가타현","2014-06-12","553.39","불검출","불검출","적합"
"6","코엔자임Q10제품","시즈오카현","2014-03-24","7.2","불검출","불검출","적합"
"7","기타가공품","지바현","2014-06-06","126","불검출","불검출","적합"
"8","된장","아이치현","2014-06-04","30","불검출","불검출","적합"
"9","혼합제제","오사카부","2014-04-05","240","불검출","불검출","적합"
"10","혼합제제","지바현","2014-05-14","20","불검출","불검출","적합"
"11","복합조미식품","사이타마현","2014-06-17","2,016","불검출","불검출","적합"
"12","고수(호유자)/열매/건조","캐나다","2014-01-28","4,875","불검출","불검출","적합"
"13","청주","효고현","2014-06-09","1,332.48","불검출","불검출","적합"
"14","소주","이바라키현","2014-06-13","104.8","불검출","불검출","적합"
"15","혼합제제","나가노현","2014-03-18","28","불검출","불검출","적합"
"16","혼합제제","효고현","2014-06-25","340","불검출","불검출","적합"
"17","청주","교토부","2014-06-13","18,432","불검출","불검출","적합"
"18","맥주","오이타현","2014-05-27","49,266","불검출","불검출","적합"
