"제조일자","","","","수입","검사결과","",""
"순번
품목명
제조·생산지
(유통기한)","","","","중량
(kg)","세슘
요오드
판정
(기준:100Bq/kg)
(기준:300Bq/kg)","",""
"총 107건","","","","600,.317","","",""
"1","혼합제제","사이타마현","2017-05-24","200","불검출","불검출","적합"
"2","된장","아이치현","2017-04-27","60","불검출","불검출","적합"
"3","양조간장","지바현","2017-04-19","540","불검출","불검출","적합"
"4","국수","구마모토현","2017-04-17","1,672","불검출","불검출","적합"
"5","캔디류(사탕)","미에현","2017-04-06","85","불검출","불검출","적합"
"6","당류가공품","오카야마현","2017-05-18","17,440","불검출","불검출","적합"
"7","혼합제제","가나가와현","2017-05-16","100","불검출","불검출","적합"
"8","맥주","후쿠오카현","2017-05-26","52,344","불검출","불검출","적합"
"9","맥주","후쿠오카현","2017-05-08","69,127","불검출","불검출","적합"
"10","과자(비스킷)","아이치현","2017-05-09","164","불검출","불검출","적합"
"11","캔디류(사탕)","미에현","2017-04-20","127","불검출","불검출","적합"
