"제조일자","","","","수입","검사결과","",""
"순번
품목명
제조·생산지
(유통기한)","","","","중량
(kg)","세슘
요오드
판정
(기준:100Bq/kg)
(기준:300Bq/kg)","",""
"총 126건","","","","885,777","","",""
"1","청주","효고현","2017-04-04","77","불검출","불검출","적합"
"2","소주","교토부","2017-03-06","84","불검출","불검출","적합"
"3","청주","이와테현","2017-05-01","540","불검출","불검출","적합"
"4","청주","교토부","2017-03-01","72","불검출","불검출","적합"
"5","청주","교토부","2017-03-14","540","불검출","불검출","적합"
"6","청주","교토부","2017-04-06","252","불검출","불검출","적합"
"7","과자(비스킷)","니가타현","2017-05-12","120","불검출","불검출","적합"
"8","소스류","도쿠시마현","2017-04-26","119","불검출","불검출","적합"
"9","캔디류(사탕)","후쿠시마현","2017-05-09","410","불검출","불검출","적합"
"10","캔디류(사탕)","미에현","2017-04-17","634","불검출","불검출","적합"
"11","소스류","훗카이도","2017-05-23","1,000","불검출","불검출","적합"
"12","소스류","훗카이도","2017-05-29","1,000","불검출","불검출","적합"
"13","위스키","오사카부","2017-05-22","11,088","불검출","불검출","적합"
