"순번","품
목","생산지","검사
완료일","중량
(Kg)","검사결과","",""
"","","","","","세슘
(
기준
:100Bq/Kg)","요오드
(
기준
:300Bq/Kg)","판정"
"17","냉장갈치","도쿠시마현","2016-04-29","1,270","불검출","불검출","적합"
"18","냉장명태","홋카이도","2016-04-29","1,758","불검출","불검출","적합"
"19","냉장대구","홋카이도","2016-04-29","276","불검출","불검출","적합"
"20","냉장갈치","와카야마현","2016-04-29","1,189","불검출","불검출","적합"
"21","냉장갈치","히로시마현","2016-04-29","110","불검출","불검출","적합"
"22","냉장준치","야마구치현","2016-04-29","832","불검출","불검출","적합"
"23","냉장가오리","야마구치현","2016-04-29","170","불검출","불검출","적합"
"24","냉장민어 수조기
(
)","가가와현","2016-04-29","80","불검출","불검출","적합"
"25","냉장대구","홋카이도","2016-04-29","170","불검출","불검출","적합"
"26","냉동멸치","나가사키현","2016-04-29","48,000","불검출","불검출","적합"
"27","냉동돔 황돔(
)","야마구치현","2016-04-29","2,500","불검출","불검출","적합"
"28","냉장갈치","효고현","2016-04-29","320","불검출","불검출","적합"
"29","냉장돔 황돔(
)","후쿠오카현","2016-04-29","90","불검출","불검출","적합"
"30","냉장갈치","히로시마현","2016-04-29","840","불검출","불검출","적합"
"31","활가리비","홋카이도","2016-04-29","6,978","불검출","불검출","적합"
"32","활가리비","홋카이도","2016-04-29","6,982","불검출","불검출","적합"
