"제조일자","","","","수입","검사결과","",""
"순번
품목명
제조·생산지
(유통기한)","","","","중량
(kg)","세슘
요오드
판정
(기준:100Bq/kg)
(기준:300Bq/kg)","",""
"총 99건","","","","549,471","","",""
"1","청주","효고현","2018-01-05","86","불검출","불검출","적합"
"2","스테비올배당체","오카야마현","2018-01-05","20","불검출","불검출","적합"
"3","빵류","야마나시현","2018-01-15","406","불검출","불검출","적합"
"4","빵류","야마나시현","2018-01-08","186","불검출","불검출","적합"
"5","빵류","야마나시현","2018-01-13","442","불검출","불검출","적합"
"6","비타민B1","오키나와현","2017-12-25","56","불검출","불검출","적합"
"7","과자","시즈오카현","2017-12-18","77","불검출","불검출","적합"
"8","조미건어포","야마나시현","2018-01-08","49","불검출","불검출","적합"
"9","조미건어포","훗카이도","2017-12-08","113","불검출","불검출","적합"
"10","과자","고치현","2017-12-19","27","불검출","불검출","적합"
"11","과자","아이치현","2017-12-20","114","불검출","불검출","적합"
"12","과자","아이치현","2017-12-11","20","불검출","불검출","적합"
"13","캔디류","아이치현","2017-12-13","58","불검출","불검출","적합"
