"순번","품
목","생산지","검사
완료일","중량
(Kg)","검사결과","",""
"","","","","","세슘
(
기준
:100Bq/Kg)","요오드
(
기준
:300Bq/Kg)","판정"
"17","냉장갈치","에히메현","2016-04-05","176","불검출","불검출","적합"
"18","냉장준치","효고현","2016-04-05","480","불검출","불검출","적합"
"19","활꼬막","사가현","2016-04-05","1,560","불검출","불검출","적합"
"20","활꼬막 새꼬막
(
)","사가현","2016-04-05","1,000","불검출","불검출","적합"
"21","냉장갈치","히로시마현","2016-04-05","720","불검출","불검출","적합"
"22","냉장명태","홋카이도","2016-04-05","3,000","불검출","불검출","적합"
"23","냉장홍어","홋카이도","2016-04-05","1,778","불검출","불검출","적합"
"24","활꼬막","후쿠오카현","2016-04-05","160","불검출","불검출","적합"
"25","활꼬막 새꼬막
(
)","후쿠오카현","2016-04-05","2,000","불검출","불검출","적합"
"26","냉동새치
(
황새치 횟감
,F,
)","태평양","2016-04-05","247","불검출","불검출","적합"
"27","냉장갈치","오이타현","2016-04-05","550","불검출","불검출","적합"
"28","활가리비","홋카이도","2016-04-05","6,961","불검출","불검출","적합"
"29","냉동다랑어
(
참다랑어 횟감
,F,
)","나가사키현","2016-04-05","37","불검출","불검출","적합"
