"","","제조·생산지","제조일자","중량(kg)","검사결과","",""
"순 번","품목명","","","","세슘
요오드
판정
(기준:100Bq/kg)
(기준:300Bq/kg)","",""
"합계","","78건","","128,808","","",""
"1","비타민/무기질","도야마현","2014-02-27","790.84","불검출","불검출","적합"
"2","맥주","오이타현","2014-03-11","14,760","불검출","불검출","적합"
"3","기타설탕","오사카부","2014-03-14","200","불검출","불검출","적합"
"4","맥주","오이타현","2014-03-27","16,422","불검출","불검출","적합"
"5","캔디류(젤리)","아이치현","2014-04-08","600","불검출","불검출","적합"
"6","캔디류(젤리)","아이치현","2014-04-07","1,196","불검출","불검출","적합"
"7","캔디류(젤리)","아이치현","2014-04-07","1,196","불검출","불검출","적합"
"8","캔디류(젤리)","아이치현","2014-04-07","1,196","불검출","불검출","적합"
"9","캔디류(젤리)","아이치현","2014-04-07","1,196","불검출","불검출","적합"
"10","캔디류(젤리)","아이치현","2014-04-07","1,196","불검출","불검출","적합"
"11","개별인정형건강기능식품","훗카이도","2013-05-03","970","불검출","불검출","적합"
"12","향신료조제품(고추냉이가공품)","도쿄도","2014-03-31","200","불검출","불검출","적합"
"13","혼합제제","오카야마현","2014-04-09","510","불검출","불검출","적합"
"14","스피루리나 제품","야마나시현","2014-04-07","665.28","불검출","불검출","적합"
"15","연하곤란환자용점도증진식품","미에현","2014-03-20","27.5","불검출","불검출","적합"
"16","캔디류(양갱)","도쿄도","2014-04-06","165","불검출","불검출","적합"
