"검사결과
수입
제조일자
순번
품목명
제조·생산지
중량
세슘
요오드
(유통기한)
판정
(kg)
(기준:100Bq/kg)
(기준:300Bq/kg)","","","","","","",""
"61","즉석조리식품","미에현","2017-08-16","8,744","불검출","불검출","적합"
"62","즉석조리식품","미에현","2017-08-17","6,662","불검출","불검출","적합"
"63","소스류","효고현","2017-07-13","150","불검출","불검출","적합"
"64","기타가공품","훗카이도","2017-07-11","20","불검출","불검출","적합"
"65","혼합제제","가나가와현","2017-09-08","200","불검출","불검출","적합"
"66","혼합제제","사이타마현","2017-09-11","36","불검출","불검출","적합"
"67","혼합제제","사이타마현","2017-09-11","108","불검출","불검출","적합"
"68","혼합음료","도야마현","2017-08-22","1,523","불검출","불검출","적합"
"69","시클로덱스트린
시럽","오사카부","2017-05-24","1,000","불검출","불검출","적합"
"70","조미건어포류","오사카부","2017-08-30","690","불검출","불검출","적합"
"71","과자(스낵과자)","이바라키현","2017-09-01","923","불검출","불검출","적합"
"72","빵류(케이크)","훗카이도","2017-07-21","1,584","불검출","불검출","적합"
"73","국수","아이치현","2017-09-01","2,784","불검출","불검출","적합"
"74","마요네즈","효고현","2017-08-23","6,000","불검출","불검출","적합"
"75","고형차","아이치현","2017-07-04","31","불검출","불검출","적합"
"76","밀크초콜릿","시즈오카현","2017-06-28","173","불검출","불검출","적합"
"77","덱스트린","효고현","2017-06-02","25,600","불검출","불검출","적합"
"78","덱스트린","나라현","2017-05-14","24,000","불검출","불검출","적합"
"79","혼합제제","오사카부","2017-09-01","30","불검출","불검출","적합"
"80","혼합제제","오사카부","2017-09-05","60","불검출","불검출","적합"
"81","혼합제제","오사카부","2017-09-06","30","불검출","불검출","적합"
"82","혼합제제","오사카부","2017-09-05","30","불검출","불검출","적합"
"83","고형차","효고현","2017-09-05","8,000","불검출","불검출","적합"
"84","복합조미식품","효고현","2017-07-05","960","불검출","불검출","적합"
"85","액상차","시가현","2017-08-20","21,900","불검출","불검출","적합"
"86","청주","도치기현","2017-05-24","227","불검출","불검출","적합"
