"검사결과
수입
제조일자
순번
품목명
제조·생산지
중량
세슘
요오드
(유통기한)
판정
(kg)
(기준:100Bq/kg)
(기준:300Bq/kg)","","","","","","",""
"60","맥주","후쿠오카현","2017-08-08","52,344","불검출","불검출","적합"
"61","맥주","오키나와현","2017-09-04","20,180","불검출","불검출","적합"
"62","혼합음료","효고현","2017-08-23","1,512","불검출","불검출","적합"
"63","혼합제제","사이타마현","2017-06-26","80","불검출","불검출","적합"
"64","혼합제제","사이타마현","2017-05-03","120","불검출","불검출","적합"
"65","혼합제제","사이타마현","2017-09-12","32","불검출","불검출","적합"
"66","혼합제제","사이타마현","2017-09-05","104","불검출","불검출","적합"
"67","혼합제제","사이타마현","2017-02-01","200","불검출","불검출","적합"
"68","소스류","군마현","2017-08-09","540","불검출","불검출","적합"
"69","유탕면류","도치기현","2017-09-06","2,722","불검출","불검출","적합"
"70","유탕면류","도치기현","2017-09-06","2,722","불검출","불검출","적합"
"71","카레","니가타현","2017-08-30","4,752","불검출","불검출","적합"
"72","초콜릿가공품","이바라키현","2017-09-05","1,265","불검출","불검출","적합"
"73","금박","이시카와현","2017-09-17","0","불검출","불검출","적합"
"74","금박","가나가와현","2017-07-13","0","불검출","불검출","적합"
"75","건어포류","에히메현","2017-09-08","352","불검출","불검출","적합"
"76","기타천연착향료","도쿄도","2017-08-08","320","불검출","불검출","적합"
"77","혼합제제","도쿄도","2017-08-18","2,040","불검출","불검출","적합"
"78","혼합제제","오사카부","2017-09-06","10","불검출","불검출","적합"
"79","혼합제제","오사카부","2017-08-30","10","불검출","불검출","적합"
"80","혼합제제","오사카부","2017-08-31","17","불검출","불검출","적합"
"81","합성착향료","이바라키현","2017-09-04","180","불검출","불검출","적합"
"82","혼합제제","오사카부","2017-09-04","17","불검출","불검출","적합"
"83","혼합제제","오사카부","2017-09-06","17","불검출","불검출","적합"
"84","복합조미식품","오사카부","2017-09-08","2,000","불검출","불검출","적합"
"85","빵류(그외 빵류)","도치기현","2017-08-21","1,223","불검출","불검출","적합"
