"검사결과
수입
제조일자
순번
품목명
제조·생산지
중량
세슘
요오드
(유통기한)
판정
(kg)
(기준:100Bq/kg)
(기준:300Bq/kg)","","","","","","",""
"","","","","","","",""
"10","카레","니가타현","2017-07-14","2,600","불검출","불검출","적합"
"11","카레분","사이타마현","2017-06-02","480","불검출","불검출","적합"
"12","카레","시즈오카현","2017-04-03","120","불검출","불검출","적합"
"13","카레","니가타현","2017-08-10","2,400","불검출","불검출","적합"
"14","효모추출물제품","오이타현","2017-06-20","122","불검출","불검출","적합"
"15","국수","구마모토현","2017-09-14","325","불검출","불검출","적합"
"16","소스류","후쿠오카현","2017-09-05","6,000","불검출","불검출","적합"
"17","볶은커피","효고현","2017-07-29","76","불검출","불검출","적합"
"18","혼합제제","오사카부","2017-09-14","1,008","불검출","불검출","적합"
"19","미강유(현미유)","와카야마현","2017-09-13","600","불검출","불검출","적합"
"20","복합조미식품","에히메현","2017-09-15","1,000","불검출","불검출","적합"
"21","탄산음료","사가현","2017-07-16","9,360","불검출","불검출","적합"
"22","탄산음료","사가현","2017-07-16","7,279","불검출","불검출","적합"
"23","탄산음료","사가현","2017-07-15","11,455","불검출","불검출","적합"
"24","소스류","에히메현","2017-09-15","1,980","불검출","불검출","적합"
"25","혼합제제","이바라키현","2017-07-07","3,168","불검출","불검출","적합"
"26","혼합제제","오사카부","2017-09-01","608","불검출","불검출","적합"
"27","과자(스낵과자)","미에현","2017-08-31","5,882","불검출","불검출","적합"
"28","탄산음료","사가현","2017-07-15","9,360","불검출","불검출","적합"
"29","밀크초콜릿","이바라키현","2017-07-14","9","불검출","불검출","적합"
"30","밀크초콜릿","이바라키현","2017-07-26","12","불검출","불검출","적합"
"31","준초콜릿","이바라키현","2017-07-06","11","불검출","불검출","적합"
"32","초콜릿가공품","기후현","2017-07-12","11","불검출","불검출","적합"
"33","소스류","에히메현","2017-09-06","9,033","불검출","불검출","적합"
"34","맥주","후쿠오카현","2017-08-21","48,750","불검출","불검출","적합"
