"제조일자","","","","수입","검사결과","",""
"순번
품목명
제조·생산지
(유통기한)","","","","중량
(kg)","세슘
요오드
판정
(기준:100Bq/kg)
(기준:300Bq/kg)","",""
"총 140건","","","","542,827","","",""
"1","건어포류","에히메현","2017-08-21","80","불검출","불검출","적합"
"2","소스류","가나가와현","(2018-04-06)","8","불검출","불검출","적합"
"3","소스류","가나가와현","(2018-04-21)","240","불검출","불검출","적합"
"4","소스류","가나가와현","(2018-04-21)","5","불검출","불검출","적합"
"5","소스류","가나가와현","(2018-03-22)","5","불검출","불검출","적합"
"6","소스류","가나가와현","(2018-04-17)","45","불검출","불검출","적합"
"7","소스류","가나가와현","(2018-02-19)","1,762","불검출","불검출","적합"
"8","소스류","가나가와현","(2018-08-18)","241","불검출","불검출","적합"
"9","소스류","가나가와현","(2018-08-17)","477","불검출","불검출","적합"
"10","소스류","가나가와현","(2018-08-18)","470","불검출","불검출","적합"
