"제조일자","","","","수입","검사결과","",""
"순번
품목명
제조·생산지
(유통기한)","","","","중량
(kg)","세슘
요오드
판정
(기준:100Bq/kg)
(기준:300Bq/kg)","",""
"총 126건","","","","274,940","","",""
"1","코코아분말","가나가와현","2017-08-02","26","불검출","불검출","적합"
"2","캔디류(캐러멜)","도치기현","2017-08-07","10,872","불검출","불검출","적합"
"3","양조간장","지바현","2017-06-28","5,897","불검출","불검출","적합"
"4","소스류","지바현","2017-08-25","98","불검출","불검출","적합"
"5","기타가공품","이바라키현","2017-09-06","18,000","불검출","불검출","적합"
"6","소스류","지바현","2017-07-24","67","불검출","불검출","적합"
"7","바나바잎 추출물
제품","이와테현","2017-07-24","41","불검출","불검출","적합"
"8","녹차추출물 제품","지바현","2017-07-07","50","불검출","불검출","적합"
"9","비타민/가르시니아
캄보지아껍질추출물","도야마현","2017-07-11","391","불검출","불검출","적합"
