"검사결과
수입
제조일자
순번
품목명
제조·생산지
중량
세슘
요오드
(유통기한)
판정
(kg)
(기준:100Bq/kg)
(기준:300Bq/kg)","","","","","","",""
"10","혼합제제","히로시마현","2017-09-06","45","불검출","불검출","적합"
"11","소주","오이타현","2017-08-23","97","불검출","불검출","적합"
"12","혼합제제","나가노현","2017-09-05","1,000","불검출","불검출","적합"
"13","과자(스낵과자)","니가타현","2017-09-07","714","불검출","불검출","적합"
"14","혼합제제","오사카부","2017-09-14","17","불검출","불검출","적합"
"15","혼합제제","오사카부","2017-09-14","17","불검출","불검출","적합"
"16","혼합제제","오사카부","2017-09-13","10","불검출","불검출","적합"
"17","혼합제제","오사카부","2017-09-12","34","불검출","불검출","적합"
"18","소주","오키나와현","2017-06-08","410","불검출","불검출","적합"
"19","과자(스낵과자)","사이타마현","2017-03-30","2,512","불검출","불검출","적합"
"20","소주","오키나와현","2017-06-19","86","불검출","불검출","적합"
"21","소주","가고시마현","2017-08-28","324","불검출","불검출","적합"
"22","소주","가고시마현","2017-08-11","43","불검출","불검출","적합"
"23","소주","가고시마현","2017-08-16","367","불검출","불검출","적합"
"24","소주","가고시마현","2017-07-14","248","불검출","불검출","적합"
"25","소주","가고시마현","2017-07-03","108","불검출","불검출","적합"
"26","건어포류","교토부","2017-09-01","100","불검출","불검출","적합"
"27","건어포류","교토부","2017-09-01","900","불검출","불검출","적합"
"28","건어포류","교토부","2017-09-01","200","불검출","불검출","적합"
"29","소스류","야마나시현","","4,619","불검출","불검출","적합"
"30","국수","구마모토현","2017-08-23","367","불검출","불검출","적합"
"31","캔디류(양갱)","도쿄도","2017-08-30","178","불검출","불검출","적합"
"32","향신료조제품
(고추냉이가공품)","사이타마현","2017-08-31","135","불검출","불검출","적합"
"33","과자(스낵과자)","아이치현","2017-09-04","533","불검출","불검출","적합"
"34","캔디류(양갱)","아이치현","2017-09-08","648","불검출","불검출","적합"
