"검사결과
수입
제조일자
순번
품목명
제조·생산지
중량
세슘
요오드
(유통기한)
판정
(kg)
(기준:100Bq/kg)
(기준:300Bq/kg)","","","","","","",""
"36","밀가루","후쿠오카현","2017-07-15","2,400","불검출","불검출","적합"
"37","당류가공품","교토부","2017-08-22","157","불검출","불검출","적합"
"38","양조간장","지바현","2017-06-28","13,478","불검출","불검출","적합"
"39","양조간장","지바현","2017-07-13","585","불검출","불검출","적합"
"40","양조간장","지바현","2017-07-04","6,739","불검출","불검출","적합"
"41","소스류","지바현","2017-08-28","1,847","불검출","불검출","적합"
"42","소스류","지바현","2017-08-30","4,882","불검출","불검출","적합"
"43","소스류","지바현","2017-07-05","850","불검출","불검출","적합"
"44","국수","가가와현","2017-08-03","83","불검출","불검출","적합"
"45","당절임","군마현","2017-09-04","39","불검출","불검출","적합"
"46","과자(스낵과자)","이바라키현","2017-09-04","1,080","불검출","불검출","적합"
"47","초콜릿가공품","이바라키현","2017-09-01","965","불검출","불검출","적합"
"48","과자(스낵과자)","이바라키현","2017-09-01","677","불검출","불검출","적합"
"49","혼합제제","도쿄도","2017-09-11","450","불검출","불검출","적합"
"50","맥주","후쿠오카현","2017-08-01","16,783","불검출","불검출","적합"
"51","맥주","후쿠오카현","2017-09-01","17,448","불검출","불검출","적합"
"52","소스류","가나가와현","2017-08-01","120","불검출","불검출","적합"
"53","효모추출물제품","오이타현","2017-06-19","170","불검출","불검출","적합"
"54","음료베이스","가나가와현","2017-07-11","99","불검출","불검출","적합"
"55","혼합음료","사이타마현","2017-08-11","780","불검출","불검출","적합"
"56","음료베이스","가나가와현","2017-08-01","1,133","불검출","불검출","적합"
"57","청주","아이치현","2017-08-25","1,296","불검출","불검출","적합"
"58","청주","아이치현","2017-09-07","2,160","불검출","불검출","적합"
"59","복합조미식품","가나가와현","2017-08-15","500","불검출","불검출","적합"
"60","즉석조리식품","미에현","2017-08-18","14,107","불검출","불검출","적합"
