"검사결과
수입
제조일자
순번
품목명
제조·생산지
중량
세슘
요오드
(유통기한)
판정
(kg)
(기준:100Bq/kg)
(기준:300Bq/kg)","","","","","","",""
"11","소스류","가나가와현","(2018-09-25)","262","불검출","불검출","적합"
"12","소스류","가나가와현","(2018-10-01)","814","불검출","불검출","적합"
"13","소스류","가나가와현","(2018-09-27)","1,704","불검출","불검출","적합"
"14","소스류","가나가와현","(2018-09-28)","268","불검출","불검출","적합"
"15","캔디류(사탕)","아이치현","2017-09-08","174","불검출","불검출","적합"
"16","과자(스낵과자)","사이타마현","2017-08-24","480","불검출","불검출","적합"
"17","캔디류(사탕)","아이치현","2017-09-08","155","불검출","불검출","적합"
"18","캔디류(사탕)","아이치현","2017-09-08","450","불검출","불검출","적합"
"19","캔디류(사탕)","아이치현","2017-09-06","360","불검출","불검출","적합"
"20","캔디류(사탕)","아이치현","2017-09-07","396","불검출","불검출","적합"
"21","캔디류(사탕)","아이치현","2017-09-08","300","불검출","불검출","적합"
"22","이산화규소","도쿠시마현","2017-07-19","5,000","불검출","불검출","적합"
"23","떡류","니가타현","2016-08-11","800","불검출","불검출","적합"
"24","떡류","니가타현","2016-04-15","9,000","불검출","불검출","적합"
"25","볶은커피","미에현","2017-07-01","126","불검출","불검출","적합"
"26","맥주","교토부","2017-09-01","113,638","불검출","불검출","적합"
"27","소스류","효고현","2017-09-12","2,570","불검출","불검출","적합"
"28","소스류","지바현","2017-04-14","900","불검출","불검출","적합"
"29","수산물가공품","훗카이도","2017-09-07","750","불검출","불검출","적합"
"30","빵류(파이)","훗카이도","2017-07-06","60","불검출","불검출","적합"
"31","빵류(케이크)","훗카이도","2017-07-18","432","불검출","불검출","적합"
"32","땅콩또는견과류
가공품","야마가타현","2017-06-07","58","불검출","불검출","적합"
"33","밀가루","후쿠오카현","2017-07-16","275","불검출","불검출","적합"
"34","고형차","후쿠오카현","2017-09-12","200","불검출","불검출","적합"
"35","백설탕","구마모토현","2017-09-07","50","불검출","불검출","적합"
