"제조일자","","","","수입","검사결과","",""
"순번
품목명
제조·생산지
(유통기한)","","","","중량
(kg)","세슘
요오드
판정
(기준:100Bq/kg)
(기준:300Bq/kg)","",""
"총 53건","","","","199,130","","",""
"1","기타코코아가공품","야마나시현","2017-07-07","8,294","불검출","불검출","적합"
"2","청주","니가타현","2017-06-01","288","불검출","불검출","적합"
"3","합성착향료","도쿄도","2017-07-26","100","불검출","불검출","적합"
"4","혼합제제","효고현","2017-07-31","4,000","불검출","불검출","적합"
"5","덱스트린","효고현","2017-07-02","4,000","불검출","불검출","적합"
"6","과자(스낵과자)","니가타현","2017-07-28","1,285","불검출","불검출","적합"
"7","청주","효고현","2017-06-19","120","불검출","불검출","적합"
"8","청주","효고현","2017-06-21","30","불검출","불검출","적합"
"9","청주","효고현","2017-06-09","36","불검출","불검출","적합"
"10","빵류(케이크)","니가타현","2017-07-25","230","불검출","불검출","적합"
"11","빵류(그외 빵류)","니가타현","2017-07-25","273","불검출","불검출","적합"
"12","빵류(도넛)","니가타현","2017-07-24","371","불검출","불검출","적합"
"13","과자(스낵과자)","니가타현","2017-07-26","61","불검출","불검출","적합"
