"순번","품
목","생산지","검사
완료일","중량
(Kg)","검사결과","",""
"","","","","","세슘
(
기준
:100Bq/Kg)","요오드
(
기준
:300Bq/Kg)","판정"
"합계","건46","-","-","98,980","-","-","-"
"1","활돔 참돔(
)","나가사키현","2015-10-13","3,000","불검출","불검출","적합"
"2","활돔 참돔(
)","나가사키현","2015-10-13","6,776","불검출","불검출","적합"
"3","활가리비","홋카이도","2015-10-13","7,200","불검출","불검출","적합"
"4","냉장갈치","에히메현","2015-10-13","950","불검출","불검출","적합"
"5","냉장가오리","에히메현","2015-10-13","288","불검출","불검출","적합"
"6","냉장갈치","야마구치현","2015-10-13","155","불검출","불검출","적합"
"7","냉장갈치","와카야마현","2015-10-13","5,420","불검출","불검출","적합"
"8","냉장명태","홋카이도","2015-10-13","8,830","불검출","불검출","적합"
"9","냉장돔 참돔(
)","야마구치현","2015-10-13","475","불검출","불검출","적합"
"10","냉장돔 황돔(
)","야마구치현","2015-10-13","717","불검출","불검출","적합"
"11","냉장홍어","야마구치현","2015-10-13","220","불검출","불검출","적합"
"12","활우렁쉥이","홋카이도","2015-10-13","5,524","불검출","불검출","적합"
"13","활가리비","홋카이도","2015-10-13","6,610","불검출","불검출","적합"
"14","냉장갈치","와카야마현","2015-10-13","1,000","불검출","불검출","적합"
"15","냉장명태","홋카이도","2015-10-13","4,170","불검출","불검출","적합"
"16","냉장갈치","에히메현","2015-10-13","1,840","불검출","불검출","적합"
