"순번","품
목","생산지","검사
완료일","중량
(Kg)","검사결과","",""
"","","","","","세슘
(
기준
:100Bq/Kg)","요오드
(
기준
:300Bq/Kg)","판정"
"합계","건51","-","-","166,605","-","-","-"
"1","활방어","에히메현","2016-01-20","4,789","불검출","불검출","적합"
"2","활방어","에히메현","2016-01-20","7,568","불검출","불검출","적합"
"3","활방어","에히메현","2016-01-20","6,821","불검출","불검출","적합"
"4","냉동방어
(F,
포장횟감
)","오이타현","2016-01-20","4,012","불검출","불검출","적합"
"5","냉장민어 수조기
(
)","야마구치현","2016-01-20","35","불검출","불검출","적합"
"6","냉동다랑어
(
눈다랑어 횟감
,F,
)","태평양","2016-01-20","300","불검출","불검출","적합"
"7","냉동새치 황새치
(
,
목살)","태평양","2016-01-20","26","불검출","불검출","적합"
"8","냉동다랑어
(
눈다랑어 목살
,
)","태평양","2016-01-20","316","불검출","불검출","적합"
"9","냉동다랑어
(
눈다랑어 목살
,
)","태평양","2016-01-20","90","불검출","불검출","적합"
"10","냉동갈치","와카야마현","2016-01-20","10,040","불검출","불검출","적합"
"11","냉동갈치","와카야마현","2016-01-20","1,280","불검출","불검출","적합"
"12","냉동돔 황돔(
)","야마구치현","2016-01-20","3,325","불검출","불검출","적합"
"13","냉동가오리","야마구치현","2016-01-20","1,320","불검출","불검출","적합"
"14","냉장돔 황돔(
)","오이타현","2016-01-20","890","불검출","불검출","적합"
