"순번","품목명","제조·생산지","제조일자","중량
(kg)","검사결과","",""
"","","","","","세슘
요오드
판정
(기준:100Bq/kg)
(기준:300Bq/kg)","",""
"합계","","40","","1,110,586","","",""
"1","기타발효음료","시즈오카현","2013-09-11","25","불검출","불검출","적합"
"2","혼합제제","오카야마현","2016-01-05","90","불검출","불검출","적합"
"3","과자(스낵과자)","아이치현","2015-12-01","105.84","불검출","불검출","적합"
"4","과자(스낵과자)","아이치현","2015-11-27","79.2","불검출","불검출","적합"
"5","청주","이와테현","2016-01-04","172.8","불검출","불검출","적합"
"6","카레","나가노현","2015-11-17","4,000","불검출","불검출","적합"
"7","카레","나가노현","2015-12-01","2,400","불검출","불검출","적합"
"8","카레","나가노현","2015-11-06","1,000","불검출","불검출","적합"
"9","카레분","사이타마현","2015-10-07","160","불검출","불검출","적합"
"10","즉석조리식품","지바현","2015-11-11","57.36","불검출","불검출","적합"
"11","농산물조림","야마가타현","2015-11-09","1,200","불검출","불검출","적합"
"12","양조간장","아이치현","2015-12-04","1,620","불검출","불검출","적합"
"13","수산물가공품","교토부","2015-12-02","90","불검출","불검출","적합"
"14","소스류","이바라키현","2015-11-16","54","불검출","불검출","적합"
