"","","제조·생산지","제조일자","중량(kg)","검사결과","",""
"순 번","품목명","","","","세슘
요오드
판정
(기준:100Bq/kg)
(기준:300Bq/kg)","",""
"합계","","81건","","207,064","","",""
"1","과자(크래커)","오사카부","2014-02-13","214","불검출","불검출","적합"
"2","과자(스낵과자)","니가타현","2013-12-18","400","불검출","불검출","적합"
"3","캔디류(양갱)","아이치현","2014-01-29","432","불검출","불검출","적합"
"4","과자(쿠키)","이바라키현","2013-12-08","271","불검출","불검출","적합"
"5","과자(비스킷)","도쿠시마현","2013-11-15","420","불검출","불검출","적합"
"6","과자(스낵과자)","아이치현","2014-02-10","313","불검출","불검출","적합"
"7","과자(크래커)","이바라키현","2014-02-19","186","불검출","불검출","적합"
"8","과자(크래커)","이바라키현","2013-12-15","146","불검출","불검출","적합"
"9","소스류","교토부","2014-03-04","120","불검출","불검출","적합"
"10","황산아연","나가노현","2014-04-01","250","불검출","불검출","적합"
"11","소스류","가나가와현","2014-03-18","262.8","불검출","불검출","적합"
"12","소스류","가나가와현","2014-03-18","77.7","불검출","불검출","적합"
"13","소스류","나가사키현","2014-03-29","2,447.7","불검출","불검출","적합"
"14","소스류","나가사키현","2014-03-29","3,229.2","불검출","불검출","적합"
"15","소스류","나가사키현","2014-03-29","1,177","불검출","불검출","적합"
"16","소스류","나가사키현","2014-03-21","1,426.88","불검출","불검출","적합"
