"순번","품목명","제조·생산지","제조일자","중량
(kg)","검사결과","",""
"","","","","","세슘
요오드
판정
(기준:100Bq/kg)
(기준:300Bq/kg)","",""
"71","합성착향료","야마가타현","2015-05-26","6","불검출","불검출","적합"
"72","합성착향료","가나가와현","2015-05-26","2","불검출","불검출","적합"
"73","혼합장","야마나시현","2015-06-02","2,000","불검출","불검출","적합"
"74","혼합장","야마나시현","2015-06-03","500","불검출","불검출","적합"
"75","과자(스낵과자)","사이타마현","2014-11-12","1,444","불검출","불검출","적합"
"76","국수","효고현","2015-03-10","80","불검출","불검출","적합"
"77","양조간장","아이치현","2015-06-08","540","불검출","불검출","적합"
"78","혼합제제","사이타마현","2015-06-09","25","불검출","불검출","적합"
"79","양조간장","효고현","2015-05-12","540","불검출","불검출","적합"
"80","기타천연착향료","효고현","2015-06-17","34","불검출","불검출","적합"
"81","곡류가공품","아이치현","2015-05-14","6.3","불검출","불검출","적합"
"82","양조간장","지바현","2015-06-02","4,680","불검출","불검출","적합"
"83","트랜스글루코시다아제","시가현","2015-05-25","501","불검출","불검출","적합"
"84","양조간장","지바현","2015-05-29","1,620","불검출","불검출","적합"
"85","양조간장","지바현","2015-05-29","540","불검출","불검출","적합"
"86","당류가공품","교토부","2015-02-01","11.7","불검출","불검출","적합"
"87","당류가공품","교토부","2015-02-01","9.9","불검출","불검출","적합"
"88","캔디류(젤리)","오사카부","2015-02-01","18.9","불검출","불검출","적합"
"89","당류가공품","교토부","2015-02-01","13.05","불검출","불검출","적합"
"90","과자(스낵과자)","사이타마현","2015-05-13","1,127.52","불검출","불검출","적합"
"91","혼합제제","효고현","2015-06-10","15","불검출","불검출","적합"
"92","혼합제제","사이타마현","2015-06-15","50","불검출","불검출","적합"
"93","혼합제제","군마현","2015-06-09","40","불검출","불검출","적합"
"94","혼합제제","효고현","2015-06-17","17","불검출","불검출","적합"
"95","혼합제제","효고현","2015-06-16","10","불검출","불검출","적합"
"96","혼합제제","효고현","2015-06-04","10","불검출","불검출","적합"
"97","혼합제제","효고현","2015-06-17","17","불검출","불검출","적합"
"98","혼합장","나가노현","2015-06-09","1,152","불검출","불검출","적합"
"99","혼합장","나가노현","2015-06-04","5,760","불검출","불검출","적합"
"100","혼합제제","도치기현","2015-06-05","90","불검출","불검출","적합"
