"순번","품목명","제조·생산지","제조일자","중량
(kg)","검사결과","",""
"","","","","","세슘
요오드
판정
(기준:100Bq/kg)
(기준:300Bq/kg)","",""
"합계","","86","","131,006","","",""
"1","카레","미야기현","2015-06-11","1,440","불검출","불검출","적합"
"2","기타설탕","오사카부","2015-04-21","5,040","불검출","불검출","적합"
"3","비타민","지바현","2014-08-01","120","불검출","불검출","적합"
"4","소스류","아오모리현","2015-06-05","1,080","불검출","불검출","적합"
"5","과자(스낵과자)","나가노현","2015-06-25","4,032","불검출","불검출","적합"
"6","청주","후쿠이현","2015-07-10","51.84","불검출","불검출","적합"
"7","볶은커피","효고현","2015-06-22","4,800","불검출","불검출","적합"
"8","맥주","후쿠오카현","2015-06-09","52,380","불검출","불검출","적합"
"9","향신료조제품(고추
냉이가공품)","사이타마현","2015-06-15","6,000","불검출","불검출","적합"
"10","혼합제제","오카야마현","2015-07-09","30","불검출","불검출","적합"
"11","어묵","시마네현","2015-06-12","737.2","불검출","불검출","적합"
