"제조일자","","","","수입","검사결과","",""
"순번
품목명
제조·생산지
(유통기한)","","","","중량
(kg)","세슘
요오드
판정
(기준:100Bq/kg)
(기준:300Bq/kg)","",""
"총 134건","","","","361,230","","",""
"1","L-메티오닌","야마구치현","2018-03-20","300","불검출","불검출","적합"
"2","기타가공품","교토부","2018-09-12","31","불검출","불검출","적합"
"3","기타가공품","오사카부","2018-08-24","49","불검출","불검출","적합"
"4","가공두부","후쿠오카현","2018-10-13","6,480","불검출","불검출","적합"
"5","가공두부","후쿠오카현","2018-10-13","7,200","불검출","불검출","적합"
"6","과자","훗카이도","2018-09-20","198","불검출","불검출","적합"
"7","카레(커리)","나가노현","2018-08-06","2,000","불검출","불검출","적합"
"8","가공소금","사이타마현","2018-09-12","54","불검출","불검출","적합"
"9","카레(커리)","나가노현","2018-09-03","4,000","불검출","불검출","적합"
"10","카레(커리)","니가타현","2018-09-17","1,600","불검출","불검출","적합"
"11","혼합제제","효고현","2018-10-25","119","불검출","불검출","적합"
"12","혼합제제","효고현","2018-10-25","51","불검출","불검출","적합"
"13","혼합제제","오카야마현","2018-10-31","30","불검출","불검출","적합"
"14","금박","이시카와현","2018-10-24","0","불검출","불검출","적합"
