"제조일자","","","","수입","검사결과","",""
"순번
품목명
제조·생산지
(유통기한)","","","","중량
(kg)","세슘
요오드
판정
(기준:100Bq/kg)
(기준:300Bq/kg)","",""
"총 109건","","","","368,730","","",""
"1","액상차","시가현","2018-11-10","2,400","불검출","불검출","적합"
"2","소스","나가사키현","2018-11-22","1,092","불검출","불검출","적합"
"3","소스","나가사키현","2018-10-15","2,999","불검출","불검출","적합"
"4","소스","나가사키현","2018-12-06","872","불검출","불검출","적합"
"5","소스","나가사키현","2018-11-06","3,410","불검출","불검출","적합"
"6","볶은커피","아이치현","2018-10-29","19","불검출","불검출","적합"
"7","볶은커피","지바현","2018-12-07","25","불검출","불검출","적합"
"8","소스","시즈오카현","2018-12-10","2,000","불검출","불검출","적합"
"9","볶은커피","지바현","2018-12-06","25","불검출","불검출","적합"
"10","볶은커피","지바현","2018-10-18","8","불검출","불검출","적합"
"11","소스","도치기현","2018-11-27","16,729","불검출","불검출","적합"
"12","볶은커피","지바현","2018-11-21","14","불검출","불검출","적합"
"13","볶은커피","아이치현","2018-11-23","14","불검출","불검출","적합"
"14","볶은커피","아이치현","2018-11-29","13","불검출","불검출","적합"
