"제조일자","","","","수입","검사결과","",""
"순번
품목명
제조·생산지
(유통기한)","","","","중량
(kg)","세슘
요오드
판정
(기준:100Bq/kg)
(기준:300Bq/kg)","",""
"총 120건","","","","196,074","","",""
"1","과자","오사카부","2018-10-24","359","불검출","불검출","적합"
"2","청주","아이치현","2018-11-01","475","불검출","불검출","적합"
"3","청주","아이치현","2018-12-03","1,296","불검출","불검출","적합"
"4","소스","사이타마현","2018-12-07","2,000","불검출","불검출","적합"
"5","소스","후쿠오카현","2018-12-17","595","불검출","불검출","적합"
"6","소스","후쿠오카현","2018-12-17","25","불검출","불검출","적합"
"7","소스","후쿠오카현","2018-12-17","25","불검출","불검출","적합"
"8","소스","훗카이도","2018-12-11","1,960","불검출","불검출","적합"
"9","소스","아이치현","2018-11-23","672","불검출","불검출","적합"
"10","탄산음료","오사카부","2018-11-12","360","불검출","불검출","적합"
"11","소스","아이치현","2018-10-12","446","불검출","불검출","적합"
"12","소스","아이치현","2018-11-05","446","불검출","불검출","적합"
"13","빵류","나가노현","2018-12-19","564","불검출","불검출","적합"
"14","빵류","나가노현","2018-12-19","532","불검출","불검출","적합"
