"제조일자","","","","수입","검사결과","",""
"순번
품목명
제조·생산지
(유통기한)","","","","중량
(kg)","세슘
요오드
판정
(기준:100Bq/kg)
(기준:300Bq/kg)","",""
"총 114건","","","","231,573","","",""
"1","청주","아이치현","2018-10-16","43","불검출","불검출","적합"
"2","유탕면","아이치현","2018-11-16","87","불검출","불검출","적합"
"3","유탕면","후쿠오카현","2018-12-05","277","불검출","불검출","적합"
"4","탄산음료","히로시마현","2018-07-27","120","불검출","불검출","적합"
"5","과자","나가노현","2018-12-12","120","불검출","불검출","적합"
"6","과자","니가타현","2018-12-03","168","불검출","불검출","적합"
"7","캔디류","아이치현","2018-12-12","396","불검출","불검출","적합"
"8","탄산음료","오사카부","2018-10-16","1,200","불검출","불검출","적합"
"9","캔디류","아이치현","2018-12-12","300","불검출","불검출","적합"
"10","캔디류","아이치현","2018-12-12","97","불검출","불검출","적합"
"11","탄산음료","아이치현","","6,720","불검출","불검출","적합"
"12","고춧가루","효고현","2018-12-19","80","불검출","불검출","적합"
"13","발효식초","나라현","2018-09-12","143","불검출","불검출","적합"
"14","기타 주류","야마구치현","2018-12-07","437","불검출","불검출","적합"
